City,Code,Date,Time,Prayer,AzanType
Hatta,D,2025-04-22,04:34 AM,Fajr,Fajr
Hatta,D,2025-04-22,12:23 PM,Duhur,Regular
Hatta,D,2025-04-22,03:50 PM,Asr,Regular
Hatta,D,2025-04-22,06:50 PM,Maghrib,Regular
Hatta,D,2025-04-22,08:08 PM,Isha,Regular
Hatta,D,2025-04-23,04:33 AM,Fajr,Fajr
Hatta,D,2025-04-23,12:23 PM,Duhur,Regular
Hatta,D,2025-04-23,03:49 PM,Asr,Regular
Hatta,D,2025-04-23,06:51 PM,Maghrib,Regular
Hatta,D,2025-04-23,08:08 PM,Isha,Regular
Hatta,D,2025-04-24,04:32 AM,Fajr,Fajr
Hatta,D,2025-04-24,12:23 PM,Duhur,Regular
Hatta,D,2025-04-24,03:49 PM,Asr,Regular
Hatta,D,2025-04-24,06:51 PM,Maghrib,Regular
Hatta,D,2025-04-24,08:09 PM,Isha,Regular
Hatta,D,2025-04-25,04:31 AM,Fajr,Fajr
Hatta,D,2025-04-25,12:23 PM,Duhur,Regular
Hatta,D,2025-04-25,03:49 PM,Asr,Regular
Hatta,D,2025-04-25,06:52 PM,Maghrib,Regular
Hatta,D,2025-04-25,08:10 PM,Isha,Regular
Hatta,D,2025-04-26,04:30 AM,Fajr,Fajr
Hatta,D,2025-04-26,12:23 PM,Duhur,Regular
Hatta,D,2025-04-26,03:48 PM,Asr,Regular
Hatta,D,2025-04-26,06:52 PM,Maghrib,Regular
Hatta,D,2025-04-26,08:10 PM,Isha,Regular
Hatta,D,2025-04-27,04:29 AM,Fajr,Fajr
Hatta,D,2025-04-27,12:22 PM,Duhur,Regular
Hatta,D,2025-04-27,03:48 PM,Asr,Regular
Hatta,D,2025-04-27,06:53 PM,Maghrib,Regular
Hatta,D,2025-04-27,08:11 PM,Isha,Regular
Hatta,D,2025-04-28,04:28 AM,Fajr,Fajr
Hatta,D,2025-04-28,12:22 PM,Duhur,Regular
Hatta,D,2025-04-28,03:48 PM,Asr,Regular
Hatta,D,2025-04-28,06:53 PM,Maghrib,Regular
Hatta,D,2025-04-28,08:12 PM,Isha,Regular
Hatta,D,2025-04-29,04:27 AM,Fajr,Fajr
Hatta,D,2025-04-29,12:22 PM,Duhur,Regular
Hatta,D,2025-04-29,03:48 PM,Asr,Regular
Hatta,D,2025-04-29,06:54 PM,Maghrib,Regular
Hatta,D,2025-04-29,08:12 PM,Isha,Regular
Hatta,D,2025-04-30,04:26 AM,Fajr,Fajr
Hatta,D,2025-04-30,12:22 PM,Duhur,Regular
Hatta,D,2025-04-30,03:47 PM,Asr,Regular
Hatta,D,2025-04-30,06:54 PM,Maghrib,Regular
Hatta,D,2025-04-30,08:13 PM,Isha,Regular
