City,Code,Date,Time,Prayer,AzanType
Dubai,D,2025-04-22,04:34,Fajr,Fajr
Dubai,D,2025-04-22,12:23,Duhur,Regular
Dubai,D,2025-04-22,15:50,Asr,Regular
Dubai,D,2025-04-22,18:50,Maghrib,Regular
Dubai,D,2025-04-22,20:08,Isha,Regular
Dubai,D,2025-04-23,04:33,Fajr,Fajr
Dubai,D,2025-04-23,12:23,Duhur,Regular
Dubai,D,2025-04-23,15:49,Asr,Regular
Dubai,D,2025-04-23,18:51,Maghrib,Regular
Dubai,D,2025-04-23,20:08,Isha,Regular
Dubai,D,2025-04-24,04:32,Fajr,Fajr
Dubai,D,2025-04-24,12:23,Duhur,Regular
Dubai,D,2025-04-24,15:49,Asr,Regular
Dubai,D,2025-04-24,18:51,Maghrib,Regular
Dubai,D,2025-04-24,20:09,Isha,Regular
Dubai,D,2025-04-25,04:31,Fajr,Fajr
Dubai,D,2025-04-25,12:23,Duhur,Regular
Dubai,D,2025-04-25,15:49,Asr,Regular
Dubai,D,2025-04-25,18:52,Maghrib,Regular
Dubai,D,2025-04-25,20:10,Isha,Regular
Dubai,D,2025-04-26,04:30,Fajr,Fajr
Dubai,D,2025-04-26,12:23,Duhur,Regular
Dubai,D,2025-04-26,15:48,Asr,Regular
Dubai,D,2025-04-26,18:52,Maghrib,Regular
Dubai,D,2025-04-26,20:10,Isha,Regular
Dubai,D,2025-04-27,04:29,Fajr,Fajr
Dubai,D,2025-04-27,12:22,Duhur,Regular
Dubai,D,2025-04-27,15:48,Asr,Regular
Dubai,D,2025-04-27,18:53,Maghrib,Regular
Dubai,D,2025-04-27,20:11,Isha,Regular
Dubai,D,2025-04-28,04:28,Fajr,Fajr
Dubai,D,2025-04-28,12:22,Duhur,Regular
Dubai,D,2025-04-28,15:48,Asr,Regular
Dubai,D,2025-04-28,18:53,Maghrib,Regular
Dubai,D,2025-04-28,20:12,Isha,Regular
Dubai,D,2025-04-29,04:27,Fajr,Fajr
Dubai,D,2025-04-29,12:22,Duhur,Regular
Dubai,D,2025-04-29,15:48,Asr,Regular
Dubai,D,2025-04-29,18:54,Maghrib,Regular
Dubai,D,2025-04-29,20:12,Isha,Regular
Dubai,D,2025-04-30,04:26,Fajr,Fajr
Dubai,D,2025-04-30,12:22,Duhur,Regular
Dubai,D,2025-04-30,15:47,Asr,Regular
Dubai,D,2025-04-30,18:54,Maghrib,Regular
Dubai,D,2025-04-30,20:13,Isha,Regular
